1,2,AERIAL,0.350000
1,6,AERIAL,0.250000
1,15,AERIAL,0.800000
1,24,AERIAL,9.000000
2,3,UNDERGROUND,0.200000
2,17,AERIAL,0.400000
3,4,UNDERGROUND,0.150000
3,8,UNDERGROUND,0.250000
3,5,AERIAL,0.300000
4,5,AERIAL,0.400000
5,18,AERIAL,0.500000
6,7,AERIAL,0.450000
7,8,AERIAL,0.350000
7,13,AERIAL,0.650000
7,19,AERIAL,0.400000
8,9,UNDERGROUND,0.150000
9,10,AERIAL,0.200000
10,19,AERIAL,0.550000
10,20,AERIAL,0.350000
11,20,UNDERGROUND,0.700000
11,12,AERIAL,0.300000
12,13,AERIAL,0.500000
12,20,AERIAL,0.200000
13,14,AERIAL,0.450000
14,21,UNDERGROUND,1.200000
15,17,UNDERGROUND,0.250000
15,16,AERIAL,0.600000
17,18,AERIAL,0.300000
19,20,AERIAL,0.400000
